year,hires,terminations,net_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,198,944,82.66
2004,1135,202,933,82.20
2005,1097,177,920,83.87
2006,1118,182,936,83.72
2007,1090,149,941,86.33
2008,1108,143,965,87.09
2009,1140,154,986,86.49
2010,1099,128,971,88.35
2011,1101,114,987,89.65
2012,1103,109,994,90.12
2013,1105,96,1009,91.31
2014,1053,90,963,91.45
2015,1059,74,985,93.01
2016,1122,66,1056,94.12
2017,1091,56,1035,94.87
2018,1147,50,1097,95.64
2019,1083,48,1035,95.57
2020,1012,27,985,97.33
